programid	title	genre	channel	broadcasttime	period	country	director
57779	조지워싱턴급 항공모함	시사교양					
57780	아내를 부탁해	연예/오락					
57781	신령사냥 GHOST HOUND	애니메이션					
57782	느낌이 좋아	국내드라마	MBC			한국	
57783	치로의 클래식 동요	시사교양	EBS	목 09시 10분		총 13부작	
57784	어린이 손자병법	시사교양	EBS	월, 화 19시 30분		한국	
57785	레알 스쿨!	연예/오락					
57786	막돼먹은 영애씨 시즌8	국내드라마					
57787	좋은사람 소개시켜줘	연예/오락	KBS2	일 10시 45분		한국	
57788	탑 디자인 시즌2	연예/오락					
57789	Style Apps 시즌2	연예/오락					
57790	따뜻한 세상 만들기 "허그"	시사교양					
57791	스타발굴로드쇼 강력추천	기타	SBS	일 10시 45분		한국	
57792	커플쇼! 결혼해도 될까요?	연예/오락					
57793	KBS 드라마 스페셜 연작시리즈 시즌1	국내드라마	KBS2	일 23시 15분		한국	
57794	시사 랭크쇼 열광	연예/오락					
57795	원자력, 공존을 꿈꾸다	시사교양	EBS	월, 화 21시 50분		한국	
57796	한글기차 치포	시사교양	EBS	수, 목 08시 45분		한국	
57797	달고나	연예/오락	SBS	토 17시 05분		한국	
57798	Job Star 일단 맡겨! 시즌1	연예/오락					
57799	똑똑박사 에디	시사교양	EBS	금 07시 45분		한국	
57800	상상과 창조의 인문학 이야기	기타	EBS	월, 화, 수 24시 45분		한국	
57801	명 받았습니다	연예/오락	KBS2	토 18시 30분		한국	
57802	우리 연애합니다	연예/오락					
57803	옹달샘과 꿈꾸라	연예/오락					
57804	이금희의 특별한 만남	시사교양					
57805	이별에 대처하는 우리들의 자세	연예/오락	KBS2	일 21시 05분		한국	
57806	국가대표	연예/오락	KBS2	일 21시 05분		한국	
57807	쉽게 설명해줄게	연예/오락	KBS2	일 21시 05분		한국	
57808	미끼	연예/오락	KBS2	일 21시 05분		한국	
57809	짝패	국내드라마	MBC	월, 화 21시 55분		한국	
57810	퀴즈쇼 사총사	시사교양	KBS2	일 08시 10분		한국	
57811	환상의 커플	연예/오락					
57812	슈퍼스타K 2 끝나지 않은 이야기	연예/오락					
57813	닥터 이라부 이치로	해외드라마					
57814	사냥의 기술	시사교양	EBS	월, 화 21시 50분		한국	
57815	최상의 명의	해외드라마					
57816	고우 ~공주들의 전국~	해외드라마					
57817	Change the world 다트머스 대학	시사교양					
57818	모시도라	애니메이션					
57819	빠삐용	연예/오락					
57820	달콤한 초대	연예/오락					
57821	장미의 전쟁	국내드라마	SBS	월 ~ 금 08시 40분		한국	
57822	범죄심리분석 더 프로파일러	연예/오락					
57823	새벽기도회	시사교양					
57824	워십댄스 with PK 시즌2	시사교양					
57825	워십댄스 with PK 시즌1	시사교양					
57826	최신애의 행복한 식탁	시사교양					
57827	TV 빛과 소금	시사교양					
57828	지구생존, 사막에서 길을 찾다	시사교양					
57829	미녀와 야수	연예/오락					
57830	MBC 뉴스 데스크 강원	시사교양	춘천 MBC	월 ~ 금 21시 25분		한국	
57831	아이 러브 걸스데이	연예/오락					
57832	굿타임 0230	연예/오락	SBS	토 24시 10분		한국	
57833	기적의 목청킹	연예/오락	SBS	일 18시 30분		한국	
57834	제이미 패밀리 크리스마스	연예/오락					
57835	고발 국선 변호인	해외드라마					
57836	LADY 마지막 프로파일링	해외드라마					
57837	겨울의 사쿠라	해외드라마					
57838	헤븐즈 플라워	해외드라마					
57839	CONTROL 범죄 심리 조사	해외드라마					
57840	아름다운 이웃	해외드라마					
57841	혼보시∼심리특수사건부∼	해외드라마					
57842	썬더 일레븐 3기	애니메이션					
57843	실전격투대전 전설의 파이터 시즌2	시사교양					
57844	특별수사대 MSS	국내드라마	KBS2	일 23시 15분		한국	
57845	디지털 시대, 우리 아이 키우기	기타	EBS	수 24시 45분		총 1부작	
57846	시네마 월드	연예/오락	부산 MBC	토 08시 45분		한국	
57847	은밀 팔백팔마치	해외드라마					
57848	동아시아 생명대탐사 아무르	시사교양	KBS1	수, 목 22시 00분		한국	
57849	김수환 추기경에 관한 마지막 보고서	기타					
57850	긴급출동! 캠퍼스 SOS	연예/오락					
57851	추억이 빛나는 밤에	연예/오락	MBC	목 23시 05분		한국	
57852	The Stage	연예/오락					
57853	스타 무한도전 미니 라이브 시즌3	연예/오락					
57854	티니 와일드	애니메이션	KBS1	금 13시 00분		총 1부작	
57855	지평선 너머	국내드라마	SBS	월 ~ 금 08시 25분		한국	
57856	스타메이킹 서바이벌 황금마이크	연예/오락					
57857	제1공화국	국내드라마	MBC			한국	
57858	엄마, 영어에 미치다! 시즌2	시사교양					
57859	스페셜 걸스 시즌3	연예/오락					
57860	브런치	시사교양					
57861	이광용의 옐로우카드	연예/오락					
57862	차정인 기자의 뉴스풀이	시사교양					
57863	가애란의 알약톡톡	시사교양					
57864	앤더슨의 버터잉글리시	시사교양					
57865	박은영 강유정의 무비부비	연예/오락					
57866	상상오락관	연예/오락	KBS1	토 19시 10분		한국	
57867	2011 전국 동안선발대회	기타	SBS	금 18시 10분		한국	
57868	반짝반짝 빛나는	국내드라마	MBC	토, 일 20시 40분		한국	
57869	윤도현 Papa & Girl in London	연예/오락					
57870	도전 韓 cook 요리왕!	연예/오락					
57871	벤허	해외드라마					
57872	645g 작은천사 경윤이의 꿈	시사교양	SBS	토 23시 10분		한국	
57873	머라이어 캐리의 메리 크리스마스	기타	MBC	금 24시 20분			
57874	휴먼르포 마이 트루 스토리 시즌1	시사교양					
57875	Player’s Wife	연예/오락					
57876	초음이의 풀잎학교	애니메이션	EBS	수, 목, 금 17시 40분			
57877	쌩쑈 롸잇 Now	연예/오락					
57878	한반도의 기후	시사교양	EBS	월 21시 50분		한국	
57879	패션 오브 크라이 시즌2	시사교양					
57880	북극의 눈물	시사교양					
57881	드래곤볼Z KAI	애니메이션					
57882	쓰리몬 증량중	애니메이션					
57883	독립영화관	연예/오락	KBS1	토 24시 55분			
57884	꿈을 먹는 메리	애니메이션					
57886	푸른 지구의 마지막 유산 콩고	시사교양	KBS1	수, 목, 금 22시 00분		한국	
57887	I'm Real 조윤희	연예/오락					
57888	청년! 도전 스토리 북	시사교양					
57889	바람의 땅 라다크 구도의 의사 우르갼	시사교양					
57890	스틸 루트	시사교양					
57891	스마트 액션	국내드라마					
57892	이 남자가 사는 법	국내드라마	SBS				
57893	궁합이 맞습니다	국내드라마	SBS				
57894	학자의 고향	시사교양	KBS1	일 06시 40분		한국	
57895	강력반	국내드라마	KBS2	월, 화 21시 55분		한국	
57896	굿바이 사교육	시사교양	EBS	월, 화, 수 21시 50분		한국	
